Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , None ,1618.5,3.00,20.00,32370.00,0.00,32370.00,16185.00,16185.00,01/01/2014,1, January ,2014
Government,Germany, Carretera , None ,1321,3.00,20.00,26420.00,0.00,26420.00,13210.00,13210.00,01/01/2014,1, January ,2014
Midmarket,France, Carretera , None ,2178,3.00,15.00,32670.00,0.00,32670.00,21780.00,10890.00,01/06/2014,6, June ,2014
Midmarket,Germany, Carretera , None ,888,3.00,15.00,13320.00,0.00,13320.00,8880.00,4440.00,01/06/2014,6, June ,2014
Midmarket,Mexico, Carretera , None ,2470,3.00,15.00,37050.00,0.00,37050.00,24700.00,12350.00,01/06/2014,6, June ,2014
Government,Germany, Carretera , None ,1513,3.00,350.00,529550.00,0.00,529550.00,393380.00,136170.00,01/12/2014,12, December ,2014
Midmarket,Germany, Montana , None ,921,5.00,15.00,13815.00,0.00,13815.00,9210.00,4605.00,01/03/2014,3, March ,2014
Channel Partners,Canada, Montana , None ,2518,5.00,12.00,30216.00,0.00,30216.00,7554.00,22662.00,01/06/2014,6, June ,2014
Government,France, Montana , None ,1899,5.00,20.00,37980.00,0.00,37980.00,18990.00,18990.00,01/06/2014,6, June ,2014
Channel Partners,Germany, Montana , None ,1545,5.00,12.00,18540.00,0.00,18540.00,4635.00,13905.00,01/06/2014,6, June ,2014
Midmarket,Mexico, Montana , None ,2470,5.00,15.00,37050.00,0.00,37050.00,24700.00,12350.00,01/06/2014,6, June ,2014
Enterprise,Canada, Montana , None ,2665.5,5.00,125.00,333187.50,0.00,333187.50,319860.00,13327.50,01/07/2014,7, July ,2014
Small Business,Mexico, Montana , None ,958,5.00,300.00,287400.00,0.00,287400.00,239500.00,47900.00,01/08/2014,8, August ,2014
Government,Germany, Montana , None ,2146,5.00,7.00,15022.00,0.00,15022.00,10730.00,4292.00,01/09/2014,9, September ,2014
Enterprise,Canada, Montana , None ,345,5.00,125.00,43125.00,0.00,43125.00,41400.00,1725.00,01/10/2013,10, October ,2013
Midmarket,United States of America, Montana , None ,615,5.00,15.00,9225.00,0.00,9225.00,6150.00,3075.00,01/12/2014,12, December ,2014
Government,Canada, Paseo , None ,292,10.00,20.00,5840.00,0.00,5840.00,2920.00,2920.00,01/02/2014,2, February ,2014
Midmarket,Mexico, Paseo , None ,974,10.00,15.00,14610.00,0.00,14610.00,9740.00,4870.00,01/02/2014,2, February ,2014
Channel Partners,Canada, Paseo , None ,2518,10.00,12.00,30216.00,0.00,30216.00,7554.00,22662.00,01/06/2014,6, June ,2014
Government,Germany, Paseo , None ,1006,10.00,350.00,352100.00,0.00,352100.00,261560.00,90540.00,01/06/2014,6, June ,2014
Channel Partners,Germany, Paseo , None ,367,10.00,12.00,4404.00,0.00,4404.00,1101.00,3303.00,01/07/2014,7, July ,2014
Government,Mexico, Paseo , None ,883,10.00,7.00,6181.00,0.00,6181.00,4415.00,1766.00,01/08/2014,8, August ,2014
Midmarket,France, Paseo , None ,549,10.00,15.00,8235.00,0.00,8235.00,5490.00,2745.00,01/09/2013,9, September ,2013
Small Business,Mexico, Paseo , None ,788,10.00,300.00,236400.00,0.00,236400.00,197000.00,39400.00,01/09/2013,9, September ,2013
Midmarket,Mexico, Paseo , None ,2472,10.00,15.00,37080.00,0.00,37080.00,24720.00,12360.00,01/09/2014,9, September ,2014
Government,United States of America, Paseo , None ,1143,10.00,7.00,8001.00,0.00,8001.00,5715.00,2286.00,01/10/2014,10, October ,2014
Government,Canada, Paseo , None ,1725,10.00,350.00,603750.00,0.00,603750.00,448500.00,155250.00,01/11/2013,11, November ,2013
Channel Partners,United States of America, Paseo , None ,912,10.00,12.00,10944.00,0.00,10944.00,2736.00,8208.00,01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , None ,2152,10.00,15.00,32280.00,0.00,32280.00,21520.00,10760.00,01/12/2013,12, December ,2013
Government,Canada, Paseo , None ,1817,10.00,20.00,36340.00,0.00,36340.00,18170.00,18170.00,01/12/2014,12, December ,2014
Government,Germany, Paseo , None ,1513,10.00,350.00,529550.00,0.00,529550.00,393380.00,136170.00,01/12/2014,12, December ,2014
Government,Mexico, Velo , None ,1493,120.00,7.00,10451.00,0.00,10451.00,7465.00,2986.00,01/01/2014,1, January ,2014
Enterprise,France, Velo , None ,1804,120.00,125.00,225500.00,0.00,225500.00,216480.00,9020.00,01/02/2014,2, February ,2014
Channel Partners,Germany, Velo , None ,2161,120.00,12.00,25932.00,0.00,25932.00,6483.00,19449.00,01/03/2014,3, March ,2014
Government,Germany, Velo , None ,1006,120.00,350.00,352100.00,0.00,352100.00,261560.00,90540.00,01/06/2014,6, June ,2014
Channel Partners,Germany, Velo , None ,1545,120.00,12.00,18540.00,0.00,18540.00,4635.00,13905.00,01/06/2014,6, June ,2014
Enterprise,United States of America, Velo , None ,2821,120.00,125.00,352625.00,0.00,352625.00,338520.00,14105.00,01/08/2014,8, August ,2014
Enterprise,Canada, Velo , None ,345,120.00,125.00,43125.00,0.00,43125.00,41400.00,1725.00,01/10/2013,10, October ,2013
Small Business,Canada, VTT , None ,2001,250.00,300.00,600300.00,0.00,600300.00,500250.00,100050.00,01/02/2014,2, February ,2014
Channel Partners,Germany, VTT , None ,2838,250.00,12.00,34056.00,0.00,34056.00,8514.00,25542.00,01/04/2014,4, April ,2014
Midmarket,France, VTT , None ,2178,250.00,15.00,32670.00,0.00,32670.00,21780.00,10890.00,01/06/2014,6, June ,2014
Midmarket,Germany, VTT , None ,888,250.00,15.00,13320.00,0.00,13320.00,8880.00,4440.00,01/06/2014,6, June ,2014
Government,France, VTT , None ,1527,250.00,350.00,534450.00,0.00,534450.00,397020.00,137430.00,01/09/2013,9, September ,2013
Small Business,France, VTT , None ,2151,250.00,300.00,645300.00,0.00,645300.00,537750.00,107550.00,01/09/2014,9, September ,2014
Government,Canada, VTT , None ,1817,250.00,20.00,36340.00,0.00,36340.00,18170.00,18170.00,01/12/2014,12, December ,2014
Government,France, Amarilla , None ,2750,260.00,350.00,962500.00,0.00,962500.00,715000.00,247500.00,01/02/2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ,1953,260.00,12.00,23436.00,0.00,23436.00,5859.00,17577.00,01/04/2014,4, April ,2014
Enterprise,Germany, Amarilla , None ,4219.5,260.00,125.00,527437.50,0.00,527437.50,506340.00,21097.50,01/04/2014,4, April ,2014
Government,France, Amarilla , None ,1899,260.00,20.00,37980.00,0.00,37980.00,18990.00,18990.00,01/06/2014,6, June ,2014
Government,Germany, Amarilla , None ,1686,260.00,7.00,11802.00,0.00,11802.00,8430.00,3372.00,01/07/2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ,2141,260.00,12.00,25692.00,0.00,25692.00,6423.00,19269.00,01/08/2014,8, August ,2014
Government,United States of America, Amarilla , None ,1143,260.00,7.00,8001.00,0.00,8001.00,5715.00,2286.00,01/10/2014,10, October ,2014
Midmarket,United States of America, Amarilla , None ,615,260.00,15.00,9225.00,0.00,9225.00,6150.00,3075.00,01/12/2014,12, December ,2014
Government,France, Paseo , Low ,3945,10.00,7.00,27615.00,276.15,27338.85,19725.00,7613.85,01/01/2014,1, January ,2014
Midmarket,France, Paseo , Low ,2296,10.00,15.00,34440.00,344.40,34095.60,22960.00,11135.60,01/02/2014,2, February ,2014
Government,France, Paseo , Low ,1030,10.00,7.00,7210.00,72.10,7137.90,5150.00,1987.90,01/05/2014,5, May ,2014
Government,France, Velo , Low ,639,120.00,7.00,4473.00,44.73,4428.27,3195.00,1233.27,01/11/2014,11, November ,2014
Government,Canada, VTT , Low ,1326,250.00,7.00,9282.00,92.82,9189.18,6630.00,2559.18,01/03/2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ,1858,3.00,12.00,22296.00,222.96,22073.04,5574.00,16499.04,01/02/2014,2, February ,2014
Government,Mexico, Carretera , Low ,1210,3.00,350.00,423500.00,4235.00,419265.00,314600.00,104665.00,01/03/2014,3, March ,2014
Government,United States of America, Carretera , Low ,2529,3.00,7.00,17703.00,177.03,17525.97,12645.00,4880.97,01/07/2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ,1445,3.00,12.00,17340.00,173.40,17166.60,4335.00,12831.60,01/09/2014,9, September ,2014
Enterprise,United States of America, Carretera , Low ,330,3.00,125.00,41250.00,412.50,40837.50,39600.00,1237.50,01/09/2013,9, September ,2013
Channel Partners,France, Carretera , Low ,2671,3.00,12.00,32052.00,320.52,31731.48,8013.00,23718.48,01/09/2014,9, September ,2014
Channel Partners,Germany, Carretera , Low ,766,3.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,01/10/2013,10, October ,2013
Small Business,Mexico, Carretera , Low ,494,3.00,300.00,148200.00,1482.00,146718.00,123500.00,23218.00,01/10/2013,10, October ,2013
Government,Mexico, Carretera , Low ,1397,3.00,350.00,488950.00,4889.50,484060.50,363220.00,120840.50,01/10/2014,10, October ,2014
Government,France, Carretera , Low ,2155,3.00,350.00,754250.00,7542.50,746707.50,560300.00,186407.50,01/12/2014,12, December ,2014
Midmarket,Mexico, Montana , Low ,2214,5.00,15.00,33210.00,332.10,32877.90,22140.00,10737.90,01/03/2014,3, March ,2014
Small Business,United States of America, Montana , Low ,2301,5.00,300.00,690300.00,6903.00,683397.00,575250.00,108147.00,01/04/2014,4, April ,2014
Government,France, Montana , Low ,1375.5,5.00,20.00,27510.00,275.10,27234.90,13755.00,13479.90,01/07/2014,7, July ,2014
Government,Canada, Montana , Low ,1830,5.00,7.00,12810.00,128.10,12681.90,9150.00,3531.90,01/08/2014,8, August ,2014
Small Business,United States of America, Montana , Low ,2498,5.00,300.00,749400.00,7494.00,741906.00,624500.00,117406.00,01/09/2013,9, September ,2013
Enterprise,United States of America, Montana , Low ,663,5.00,125.00,82875.00,828.75,82046.25,79560.00,2486.25,01/10/2013,10, October ,2013
Midmarket,United States of America, Paseo , Low ,1514,10.00,15.00,22710.00,227.10,22482.90,15140.00,7342.90,01/02/2014,2, February ,2014
Government,United States of America, Paseo , Low ,4492.5,10.00,7.00,31447.50,314.48,31133.03,22462.50,8670.53,01/04/2014,4, April ,2014
Enterprise,United States of America, Paseo , Low ,727,10.00,125.00,90875.00,908.75,89966.25,87240.00,2726.25,01/06/2014,6, June ,2014
Enterprise,France, Paseo , Low ,787,10.00,125.00,98375.00,983.75,97391.25,94440.00,2951.25,01/06/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,1823,10.00,125.00,227875.00,2278.75,225596.25,218760.00,6836.25,01/07/2014,7, July ,2014
Midmarket,Germany, Paseo , Low ,747,10.00,15.00,11205.00,112.05,11092.95,7470.00,3622.95,01/09/2014,9, September ,2014
Channel Partners,Germany, Paseo , Low ,766,10.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,01/10/2013,10, October ,2013
Small Business,United States of America, Paseo , Low ,2905,10.00,300.00,871500.00,8715.00,862785.00,726250.00,136535.00,01/11/2014,11, November ,2014
Government,France, Paseo , Low ,2155,10.00,350.00,754250.00,7542.50,746707.50,560300.00,186407.50,01/12/2014,12, December ,2014
Government,France, Velo , Low ,3864,120.00,20.00,77280.00,772.80,76507.20,38640.00,37867.20,01/04/2014,4, April ,2014
Government,Mexico, Velo , Low ,362,120.00,7.00,2534.00,25.34,2508.66,1810.00,698.66,01/05/2014,5, May ,2014
Enterprise,Canada, Velo , Low ,923,120.00,125.00,115375.00,1153.75,114221.25,110760.00,3461.25,01/08/2014,8, August ,2014
Enterprise,United States of America, Velo , Low ,663,120.00,125.00,82875.00,828.75,82046.25,79560.00,2486.25,01/10/2013,10, October ,2013
Government,Canada, Velo , Low ,2092,120.00,7.00,14644.00,146.44,14497.56,10460.00,4037.56,01/11/2013,11, November ,2013
Government,Germany, VTT , Low ,263,250.00,7.00,1841.00,18.41,1822.59,1315.00,507.59,01/03/2014,3, March ,2014
Government,Canada, VTT , Low ,943.5,250.00,350.00,330225.00,3302.25,326922.75,245310.00,81612.75,01/04/2014,4, April ,2014
Enterprise,United States of America, VTT , Low ,727,250.00,125.00,90875.00,908.75,89966.25,87240.00,2726.25,01/06/2014,6, June ,2014
Enterprise,France, VTT , Low ,787,250.00,125.00,98375.00,983.75,97391.25,94440.00,2951.25,01/06/2014,6, June ,2014
Small Business,Germany, VTT , Low ,986,250.00,300.00,295800.00,2958.00,292842.00,246500.00,46342.00,01/09/2014,9, September ,2014
Small Business,Mexico, VTT , Low ,494,250.00,300.00,148200.00,1482.00,146718.00,123500.00,23218.00,01/10/2013,10, October ,2013
Government,Mexico, VTT , Low ,1397,250.00,350.00,488950.00,4889.50,484060.50,363220.00,120840.50,01/10/2014,10, October ,2014
Enterprise,France, VTT , Low ,1744,250.00,125.00,218000.00,2180.00,215820.00,209280.00,6540.00,01/11/2014,11, November ,2014
Channel Partners,United States of America, Amarilla , Low ,1989,260.00,12.00,23868.00,238.68,23629.32,5967.00,17662.32,01/09/2013,9, September ,2013
Midmarket,France, Amarilla , Low ,321,260.00,15.00,4815.00,48.15,4766.85,3210.00,1556.85,01/11/2013,11, November ,2013
Enterprise,Canada, Carretera , Low ,742.5,3.00,125.00,92812.50,1856.25,90956.25,89100.00,1856.25,01/04/2014,4, April ,2014
Channel Partners,Canada, Carretera , Low ,1295,3.00,12.00,15540.00,310.80,15229.20,3885.00,11344.20,01/10/2014,10, October ,2014
Small Business,Germany, Carretera , Low ,214,3.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,01/10/2013,10, October ,2013
Government,France, Carretera , Low ,2145,3.00,7.00,15015.00,300.30,14714.70,10725.00,3989.70,01/11/2013,11, November ,2013
Government,Canada, Carretera , Low ,2852,3.00,350.00,998200.00,19964.00,978236.00,741520.00,236716.00,01/12/2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ,1142,5.00,12.00,13704.00,274.08,13429.92,3426.00,10003.92,01/06/2014,6, June ,2014
Government,United States of America, Montana , Low ,1566,5.00,20.00,31320.00,626.40,30693.60,15660.00,15033.60,01/10/2014,10, October ,2014
Channel Partners,Mexico, Montana , Low ,690,5.00,12.00,8280.00,165.60,8114.40,2070.00,6044.40,01/11/2014,11, November ,2014
Enterprise,Mexico, Montana , Low ,1660,5.00,125.00,207500.00,4150.00,203350.00,199200.00,4150.00,01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , Low ,2363,10.00,15.00,35445.00,708.90,34736.10,23630.00,11106.10,01/02/2014,2, February ,2014
Small Business,France, Paseo , Low ,918,10.00,300.00,275400.00,5508.00,269892.00,229500.00,40392.00,01/05/2014,5, May ,2014
Small Business,Germany, Paseo , Low ,1728,10.00,300.00,518400.00,10368.00,508032.00,432000.00,76032.00,01/05/2014,5, May ,2014
Channel Partners,United States of America, Paseo , Low ,1142,10.00,12.00,13704.00,274.08,13429.92,3426.00,10003.92,01/06/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,662,10.00,125.00,82750.00,1655.00,81095.00,79440.00,1655.00,01/06/2014,6, June ,2014
Channel Partners,Canada, Paseo , Low ,1295,10.00,12.00,15540.00,310.80,15229.20,3885.00,11344.20,01/10/2014,10, October ,2014
Enterprise,Germany, Paseo , Low ,809,10.00,125.00,101125.00,2022.50,99102.50,97080.00,2022.50,01/10/2013,10, October ,2013
Enterprise,Mexico, Paseo , Low ,2145,10.00,125.00,268125.00,5362.50,262762.50,257400.00,5362.50,01/10/2013,10, October ,2013
Channel Partners,France, Paseo , Low ,1785,10.00,12.00,21420.00,428.40,20991.60,5355.00,15636.60,01/11/2013,11, November ,2013
Small Business,Canada, Paseo , Low ,1916,10.00,300.00,574800.00,11496.00,563304.00,479000.00,84304.00,01/12/2014,12, December ,2014
Government,Canada, Paseo , Low ,2852,10.00,350.00,998200.00,19964.00,978236.00,741520.00,236716.00,01/12/2014,12, December ,2014
Enterprise,Canada, Paseo , Low ,2729,10.00,125.00,341125.00,6822.50,334302.50,327480.00,6822.50,01/12/2014,12, December ,2014
Midmarket,United States of America, Paseo , Low ,1925,10.00,15.00,28875.00,577.50,28297.50,19250.00,9047.50,01/12/2013,12, December ,2013
Government,United States of America, Paseo , Low ,2013,10.00,7.00,14091.00,281.82,13809.18,10065.00,3744.18,01/12/2013,12, December ,2013
Channel Partners,France, Paseo , Low ,1055,10.00,12.00,12660.00,253.20,12406.80,3165.00,9241.80,01/12/2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low ,1084,10.00,12.00,13008.00,260.16,12747.84,3252.00,9495.84,01/12/2014,12, December ,2014
Government,United States of America, Velo , Low ,1566,120.00,20.00,31320.00,626.40,30693.60,15660.00,15033.60,01/10/2014,10, October ,2014
Government,Germany, Velo , Low ,2966,120.00,350.00,1038100.00,20762.00,1017338.00,771160.00,246178.00,01/10/2013,10, October ,2013
Government,Germany, Velo , Low ,2877,120.00,350.00,1006950.00,20139.00,986811.00,748020.00,238791.00,01/10/2014,10, October ,2014
Enterprise,Germany, Velo , Low ,809,120.00,125.00,101125.00,2022.50,99102.50,97080.00,2022.50,01/10/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ,2145,120.00,125.00,268125.00,5362.50,262762.50,257400.00,5362.50,01/10/2013,10, October ,2013
Channel Partners,France, Velo , Low ,1055,120.00,12.00,12660.00,253.20,12406.80,3165.00,9241.80,01/12/2014,12, December ,2014
Government,Mexico, Velo , Low ,544,120.00,20.00,10880.00,217.60,10662.40,5440.00,5222.40,01/12/2013,12, December ,2013
Channel Partners,Mexico, Velo , Low ,1084,120.00,12.00,13008.00,260.16,12747.84,3252.00,9495.84,01/12/2014,12, December ,2014
Enterprise,Mexico, VTT , Low ,662,250.00,125.00,82750.00,1655.00,81095.00,79440.00,1655.00,01/06/2014,6, June ,2014
Small Business,Germany, VTT , Low ,214,250.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,01/10/2013,10, October ,2013
Government,Germany, VTT , Low ,2877,250.00,350.00,1006950.00,20139.00,986811.00,748020.00,238791.00,01/10/2014,10, October ,2014
Enterprise,Canada, VTT , Low ,2729,250.00,125.00,341125.00,6822.50,334302.50,327480.00,6822.50,01/12/2014,12, December ,2014
Government,United States of America, VTT , Low ,266,250.00,350.00,93100.00,1862.00,91238.00,69160.00,22078.00,01/12/2013,12, December ,2013
Government,Mexico, VTT , Low ,1940,250.00,350.00,679000.00,13580.00,665420.00,504400.00,161020.00,01/12/2013,12, December ,2013
Small Business,Germany, Amarilla , Low ,259,260.00,300.00,77700.00,1554.00,76146.00,64750.00,11396.00,01/03/2014,3, March ,2014
Small Business,Mexico, Amarilla , Low ,1101,260.00,300.00,330300.00,6606.00,323694.00,275250.00,48444.00,01/03/2014,3, March ,2014
Enterprise,Germany, Amarilla , Low ,2276,260.00,125.00,284500.00,5690.00,278810.00,273120.00,5690.00,01/05/2014,5, May ,2014
Government,Germany, Amarilla , Low ,2966,260.00,350.00,1038100.00,20762.00,1017338.00,771160.00,246178.00,01/10/2013,10, October ,2013
Government,United States of America, Amarilla , Low ,1236,260.00,20.00,24720.00,494.40,24225.60,12360.00,11865.60,01/11/2014,11, November ,2014
Government,France, Amarilla , Low ,941,260.00,20.00,18820.00,376.40,18443.60,9410.00,9033.60,01/11/2014,11, November ,2014
Small Business,Canada, Amarilla , Low ,1916,260.00,300.00,574800.00,11496.00,563304.00,479000.00,84304.00,01/12/2014,12, December ,2014
Enterprise,France, Carretera , Low ,4243.5,3.00,125.00,530437.50,15913.13,514524.38,509220.00,5304.38,01/04/2014,4, April ,2014
Government,Germany, Carretera , Low ,2580,3.00,20.00,51600.00,1548.00,50052.00,25800.00,24252.00,01/04/2014,4, April ,2014
Small Business,Germany, Carretera , Low ,689,3.00,300.00,206700.00,6201.00,200499.00,172250.00,28249.00,01/06/2014,6, June ,2014
Channel Partners,United States of America, Carretera , Low ,1947,3.00,12.00,23364.00,700.92,22663.08,5841.00,16822.08,01/09/2014,9, September ,2014
Channel Partners,Canada, Carretera , Low ,908,3.00,12.00,10896.00,326.88,10569.12,2724.00,7845.12,01/12/2013,12, December ,2013
Government,Germany, Montana , Low ,1958,5.00,7.00,13706.00,411.18,13294.82,9790.00,3504.82,01/02/2014,2, February ,2014
Channel Partners,France, Montana , Low ,1901,5.00,12.00,22812.00,684.36,22127.64,5703.00,16424.64,01/06/2014,6, June ,2014
Government,France, Montana , Low ,544,5.00,7.00,3808.00,114.24,3693.76,2720.00,973.76,01/09/2014,9, September ,2014
Government,Germany, Montana , Low ,1797,5.00,350.00,628950.00,18868.50,610081.50,467220.00,142861.50,01/09/2013,9, September ,2013
Enterprise,France, Montana , Low ,1287,5.00,125.00,160875.00,4826.25,156048.75,154440.00,1608.75,01/12/2014,12, December ,2014
Enterprise,Germany, Montana , Low ,1706,5.00,125.00,213250.00,6397.50,206852.50,204720.00,2132.50,01/12/2014,12, December ,2014
Small Business,France, Paseo , Low ,2434.5,10.00,300.00,730350.00,21910.50,708439.50,608625.00,99814.50,01/01/2014,1, January ,2014
Enterprise,Canada, Paseo , Low ,1774,10.00,125.00,221750.00,6652.50,215097.50,212880.00,2217.50,01/03/2014,3, March ,2014
Channel Partners,France, Paseo , Low ,1901,10.00,12.00,22812.00,684.36,22127.64,5703.00,16424.64,01/06/2014,6, June ,2014
Small Business,Germany, Paseo , Low ,689,10.00,300.00,206700.00,6201.00,200499.00,172250.00,28249.00,01/06/2014,6, June ,2014
Enterprise,Germany, Paseo , Low ,1570,10.00,125.00,196250.00,5887.50,190362.50,188400.00,1962.50,01/06/2014,6, June ,2014
Channel Partners,United States of America, Paseo , Low ,1369.5,10.00,12.00,16434.00,493.02,15940.98,4108.50,11832.48,01/07/2014,7, July ,2014
Enterprise,Canada, Paseo , Low ,2009,10.00,125.00,251125.00,7533.75,243591.25,241080.00,2511.25,01/10/2014,10, October ,2014
Midmarket,Germany, Paseo , Low ,1945,10.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,01/10/2013,10, October ,2013
Enterprise,France, Paseo , Low ,1287,10.00,125.00,160875.00,4826.25,156048.75,154440.00,1608.75,01/12/2014,12, December ,2014
Enterprise,Germany, Paseo , Low ,1706,10.00,125.00,213250.00,6397.50,206852.50,204720.00,2132.50,01/12/2014,12, December ,2014
Enterprise,Canada, Velo , Low ,2009,120.00,125.00,251125.00,7533.75,243591.25,241080.00,2511.25,01/10/2014,10, October ,2014
Small Business,United States of America, VTT , Low ,2844,250.00,300.00,853200.00,25596.00,827604.00,711000.00,116604.00,01/02/2014,2, February ,2014
Channel Partners,Mexico, VTT , Low ,1916,250.00,12.00,22992.00,689.76,22302.24,5748.00,16554.24,01/04/2014,4, April ,2014
Enterprise,Germany, VTT , Low ,1570,250.00,125.00,196250.00,5887.50,190362.50,188400.00,1962.50,01/06/2014,6, June ,2014
Small Business,Canada, VTT , Low ,1874,250.00,300.00,562200.00,16866.00,545334.00,468500.00,76834.00,01/08/2014,8, August ,2014
Government,Mexico, VTT , Low ,1642,250.00,350.00,574700.00,17241.00,557459.00,426920.00,130539.00,01/08/2014,8, August ,2014
Midmarket,Germany, VTT , Low ,1945,250.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,01/10/2013,10, October ,2013
Government,Canada, Carretera , Low ,831,3.00,20.00,16620.00,498.60,16121.40,8310.00,7811.40,01/05/2014,5, May ,2014
Government,Mexico, Paseo , Low ,1760,10.00,7.00,12320.00,369.60,11950.40,8800.00,3150.40,01/09/2013,9, September ,2013
Government,Canada, Velo , Low ,3850.5,120.00,20.00,77010.00,2310.30,74699.70,38505.00,36194.70,01/04/2014,4, April ,2014
Channel Partners,Germany, VTT , Low ,2479,250.00,12.00,29748.00,892.44,28855.56,7437.00,21418.56,01/01/2014,1, January ,2014
Midmarket,Mexico, Montana , Low ,2031,5.00,15.00,30465.00,1218.60,29246.40,20310.00,8936.40,01/10/2014,10, October ,2014
